SEQ_KEY;ORDEM;VARIACAO_IMXIC;DIF_CUSTO_P_x_R;MAT_DIF_PERCENTUAL;TAXA_MAQUINA_FIXA;TAXA_MO_FIXA;TAXA_FIXA_VAR_MO;MO_VALOR;HR_MAQ_VALOR;HR_EXC_VLR;HR_CONFIG_VLR;MO_VARIACAO;EXTERNA_OPERACAO;OUTCOME
409984;523881;0.00;0.25;0.02;-0.23;-0.18;0;3.73;2.75;1.57;-1;0;0;REQUER JUSTIFICATIVA FABRICA
409992;524797;0.00;-0.03;-0.03;-0.23;-0.18;0;-0.52;0;-0.41;0;0;-1;APROVADO AUTOMATICAMENTE
410038;524580;0.00;-0.1;-0.1;-0.23;-0.18;0;-0.33;0;-0.23;0;0;-1;APROVADO AUTOMATICAMENTE
410089;523752;0.00;-0.02;-0.04;-0.23;-0.18;0;-0.01;0.47;0.09;-1;0;0;APROVADO AUTOMATICAMENTE
410158;524021;0.00;-0.35;-0.35;-0.43;-0.18;0;-0.59;-0.26;0.07;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
410245;524009;0.00;-0.48;-0.21;-0.43;-0.18;0;-0.84;-0.71;-0.58;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
410295;526376;0.00;-0.1;-0.11;-0.23;-0.18;0;-0.11;0;0.02;0;0;0;REQUER JUSTIFICATIVA FABRICA
410424;523755;0.00;-0.05;-0.05;-0.23;-0.18;0;-0.34;0.02;-0.25;-1;0;0;APROVADO AUTOMATICAMENTE
410468;523851;0.00;-0.04;-0.04;-0.23;-0.18;0;0.49;0;0.7;0;0;0;APROVADO AUTOMATICAMENTE
410689;523476;0.00;-0.07;-0.08;-0.23;-0.18;0;0.78;0;0.99;0;0;0;APROVADO AUTOMATICAMENTE
411200;526764;0.00;0.15;0.21;-0.43;-0.18;0;-0.85;-0.45;-0.59;0;0;0;REQUER JUSTIFICATIVA FABRICA
411248;523934;0.00;-0.05;-0.04;-0.23;-0.18;0;-0.35;0;-0.18;0;0;0;APROVADO AUTOMATICAMENTE
411260;526431;0.00;0.32;0.3;-0.43;-0.18;0;-0.66;-0.39;-0.12;0;0;0;REQUER JUSTIFICATIVA FABRICA
413678;526995;0.00;-0.11;-0.1;-0.44;-0.2;0;-0.69;-0.32;-0.02;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
413850;527443;0.00;-0.18;-0.18;-0.21;-0.16;0;-0.51;0;-0.37;0;0;-1;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
413881;523862;0.00;-0.18;-0.18;-0.21;-0.16;0;-0.23;0;-0.14;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
413901;518826;0.00;-0.04;-0.01;-0.21;-0.16;0;-1;0;-1;0;0;0;APROVADO AUTOMATICAMENTE
413968;526996;0.00;-0.13;-0.11;-0.44;-0.2;0;-0.72;-0.37;-0.1;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
413972;528495;0.00;-0.61;-0.64;-0.21;-0.16;0;-0.08;-0.04;-0.32;-1;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
414062;528381;0.00;-0.04;-0.03;-0.44;-0.2;0;-0.64;-0.34;-0.05;0;0;0;APROVADO AUTOMATICAMENTE
414107;527297;0.00;0.02;0.07;-0.44;-0.2;0;-0.63;-0.36;-0.08;0;0;0;APROVADO AUTOMATICAMENTE
414112;527220;0.00;-0.13;-0.11;-0.44;-0.2;0;-0.93;-0.71;-0.16;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
414139;528646;0.00;-0.43;-0.13;-0.44;-0.2;0;-0.78;-0.69;-0.37;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
414176;518750;0.00;-0.12;-0.12;-0.21;-0.16;0;-0.33;0;-0.18;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
414328;528406;0.00;-0.21;-0.08;-0.21;-0.16;0;-0.51;-0.45;-0.44;-0.64;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
414530;528708;0.00;0.12;0.18;-0.44;-0.2;0;-0.83;-0.42;-0.58;0;0;0;REQUER JUSTIFICATIVA FABRICA
414599;528316;0.00;-0.07;-0.08;-0.21;-0.16;0;0.07;0;0.34;0;0;0;APROVADO AUTOMATICAMENTE
414642;528645;0.00;-0.16;-0.16;-0.21;-0.16;0;-0.3;0;-0.12;0;0;-1;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
420506;532589;0.00;-0.2;-0.26;-0.18;-0.13;0;-0.13;-0.18;-0.13;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
420585;531961;0.00;0.36;0.38;-0.36;-0.09;0;-0.86;-0.47;-0.13;0;0;0;REQUER JUSTIFICATIVA FABRICA
420686;532254;0.00;-0.05;-0.05;-0.18;-0.13;0;-0.23;0;-0.1;0;0;0;APROVADO AUTOMATICAMENTE
420751;532836;0.00;-0.02;-0.01;-0.18;-0.13;0;-0.46;0;-0.14;0;0;0;APROVADO AUTOMATICAMENTE
420769;532295;0.00;-0.53;-0.29;-0.36;-0.09;0;-0.81;-0.64;-0.48;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
420801;532331;0.00;-0.56;-0.54;-0.34;-0.06;0;-0.66;-0.34;-0.06;0;0;0;APROVADO COM JUSTIFICATIVA SETOR CUSTOS
